class,trial,target,detect_ms,recover_ms,path
kill9,1,controller,1.326,216.506,DETECT_SIGCHLD
kill9,2,logger,1.457,219.684,DETECT_SIGCHLD
kill9,3,plant,1.296,214.915,DETECT_SIGCHLD
kill9,4,controller,1.396,217.925,DETECT_SIGCHLD
kill9,5,logger,1.400,219.936,DETECT_SIGCHLD
kill9,6,plant,1.354,213.097,DETECT_SIGCHLD
kill9,7,controller,1.343,217.004,DETECT_SIGCHLD
kill9,8,logger,1.405,219.654,DETECT_SIGCHLD
kill9,9,plant,1.416,212.300,DETECT_SIGCHLD
kill9,10,controller,1.345,216.324,DETECT_SIGCHLD
kill9,11,logger,1.354,219.011,DETECT_SIGCHLD
kill9,12,plant,1.399,212.177,DETECT_SIGCHLD
kill9,13,controller,1.360,216.903,DETECT_SIGCHLD
kill9,14,logger,1.354,219.248,DETECT_SIGCHLD
kill9,15,plant,1.416,212.235,DETECT_SIGCHLD
kill9,16,controller,1.336,214.796,DETECT_SIGCHLD
kill9,17,logger,1.357,217.457,DETECT_SIGCHLD
kill9,18,plant,1.414,220.209,DETECT_SIGCHLD
kill9,19,controller,1.389,219.679,DETECT_SIGCHLD
kill9,20,logger,1.398,212.452,DETECT_SIGCHLD
kill9,21,plant,1.340,216.894,DETECT_SIGCHLD
kill9,22,controller,1.389,219.605,DETECT_SIGCHLD
kill9,23,logger,1.422,212.046,DETECT_SIGCHLD
kill9,24,plant,1.368,214.299,DETECT_SIGCHLD
kill9,25,controller,1.334,217.272,DETECT_SIGCHLD
kill9,26,logger,1.398,214.641,DETECT_SIGCHLD
kill9,27,plant,1.347,217.549,DETECT_SIGCHLD
kill9,28,controller,1.339,219.755,DETECT_SIGCHLD
kill9,29,logger,1.366,221.309,DETECT_SIGCHLD
kill9,30,plant,1.366,213.724,DETECT_SIGCHLD
kill9,31,controller,1.357,217.294,DETECT_SIGCHLD
kill9,32,logger,1.322,219.507,DETECT_SIGCHLD
kill9,33,plant,1.358,219.137,DETECT_SIGCHLD
kill9,34,controller,1.322,220.996,DETECT_SIGCHLD
kill9,35,logger,1.397,213.871,DETECT_SIGCHLD
kill9,36,plant,1.345,217.495,DETECT_SIGCHLD
kill9,37,controller,1.335,220.100,DETECT_SIGCHLD
kill9,38,logger,1.343,212.618,DETECT_SIGCHLD
kill9,39,plant,1.408,216.352,DETECT_SIGCHLD
kill9,40,controller,1.323,218.796,DETECT_SIGCHLD
kill9,41,logger,1.320,220.020,DETECT_SIGCHLD
kill9,42,plant,1.352,212.329,DETECT_SIGCHLD
kill9,43,controller,1.355,213.506,DETECT_SIGCHLD
kill9,44,logger,1.394,216.746,DETECT_SIGCHLD
kill9,45,plant,1.373,219.353,DETECT_SIGCHLD
kill9,46,controller,1.364,211.667,DETECT_SIGCHLD
kill9,47,logger,1.405,218.479,DETECT_SIGCHLD
kill9,48,plant,1.387,220.736,DETECT_SIGCHLD
kill9,49,controller,1.362,213.561,DETECT_SIGCHLD
kill9,50,logger,1.359,216.839,DETECT_SIGCHLD
kill9,51,plant,1.350,218.969,DETECT_SIGCHLD
kill9,52,controller,1.329,220.217,DETECT_SIGCHLD
kill9,53,logger,1.364,212.317,DETECT_SIGCHLD
kill9,54,plant,1.409,212.041,DETECT_SIGCHLD
kill9,55,controller,1.352,214.816,DETECT_SIGCHLD
kill9,56,logger,1.387,217.861,DETECT_SIGCHLD
kill9,57,plant,1.425,220.209,DETECT_SIGCHLD
kill9,58,controller,1.370,221.011,DETECT_SIGCHLD
kill9,59,logger,1.409,213.807,DETECT_SIGCHLD
kill9,60,plant,1.347,217.411,DETECT_SIGCHLD
kill9,61,controller,1.698,212.289,DETECT_SIGCHLD
kill9,62,logger,1.412,213.697,DETECT_SIGCHLD
kill9,63,plant,1.350,217.436,DETECT_SIGCHLD
kill9,64,controller,1.345,219.432,DETECT_SIGCHLD
kill9,65,logger,1.335,211.563,DETECT_SIGCHLD
kill9,66,plant,1.381,213.058,DETECT_SIGCHLD
kill9,67,controller,1.359,214.661,DETECT_SIGCHLD
kill9,68,logger,1.388,216.702,DETECT_SIGCHLD
kill9,69,plant,1.337,219.532,DETECT_SIGCHLD
kill9,70,controller,1.358,212.671,DETECT_SIGCHLD
kill9,71,logger,1.407,214.281,DETECT_SIGCHLD
